country,university,tuition_usd,living_cost_usd,currency,tuition_usd_converted,living_cost_usd_converted,total_cost_usd
USA,Harvard University,54000,18000,USD,54000.0,18000.0,72000.0
UK,Oxford University,35000,15000,GBP,44450.0,19050.0,63500.0
Germany,TU Munich,500,10000,EUR,540.0,10800.0,11340.0
Australia,University of Sydney,33000,14000,AUD,21450.0,9100.0,30550.0
Canada,University of Toronto,30000,12000,CAD,22200.0,8880.0,31080.0
India,IIT Delhi,2000,3000,INR,24.0,36.0,60.0
France,Sorbonne University,3000,11000,EUR,3240.0,11880.0,15120.0
Japan,University of Tokyo,5000,9000,JPY,33.5,60.300000000000004,93.80000000000001
China,Peking University,4000,6000,CNY,560.0,840.0000000000001,1400.0
Brazil,University of Sao Paulo,1000,5000,BRL,200.0,1000.0,1200.0
